TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, EngineResponse(kn), Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47729.0800507388, -17.4677942575763, 518.679626464844, -20, 0.01, 410.472503662109, 28.6083393096924, -80.5997467041016, -290.984235708267, -103.286608272893, 15, 1.83712556631382, 14.9749708507694, 8.26292866183142, 0.311021149871317, 8.74312802999265, 17.2899042340672, 59.5333728978215
47729.1600507388, -17.6929713304808, 517.41845703125, -20, 0.542207111315262, 426.999328613281, 28.608341217041, -80.5997467041016, -290.984235708267, -103.074520781582, 15, 1.97953356809192, 14.5854112200199, 8.08689604401767, 0.456362288686506, 8.43332423956426, 16.8020841401866, 59.7840395962503
47729.2400507388, -17.937820622789, 515.896301269531, -20, 0.38747019848507, 466.892547607422, 28.608341217041, -80.599739074707, -290.135885743022, -103.074520781582, 15, 2.12563343022094, 14.392701926083, 8.24596166252652, 0.604735867339625, 8.4295243692382, 16.6344128873463, 59.4699055539203
47729.3200507388, -18.1199670865768, 514.635559082031, -20, 0.190351075790395, 470.384643554688, 28.608341217041, -80.599739074707, -290.135885743022, -103.074520781582, 15, 2.29036365072756, 13.6510982040966, 8.24596166252652, 0.771172144972125, 8.10031042532524, 15.8341269251323, 59.1611313115958
47729.3800507387, -18.2418824070072, 513.494201660156, -20, 0.01, 444.110992431641, 28.608341217041, -80.599739074707, -290.135885743022, -103.074520781582, 15, 2.41941465746305, 14.1857211189451, 8.24596166252652, 0.896133367581769, 7.95342671131702, 16.2231988405822, 60.5502235413648
47729.4600507387, -18.4261152799792, 511.971862792969, -20, 0.515318477404162, 450.987915039063, 28.6083431243896, -80.599739074707, -290.135885743022, -102.86243329027, 15, 2.58990873943443, 13.6802332292674, 8.06992904471278, 1.05142386285157, 7.64638729134788, 15.6364771823707, 60.6374737431008
47729.5400507387, -18.6380926436799, 510.295043945313, -20, 0.436615937902442, 486.645843505859, 28.6083431243896, -80.5997314453125, -289.287535777777, -102.86243329027, 15, 2.76434572339362, 13.4511256070228, 8.22899466322163, 1.20106919349403, 7.70565271187426, 15.4665338525297, 60.0400769838703
47729.6200507387, -18.7997701574505, 509.034271240234, -20, 0.283609959707603, 492.872222900391, 28.6083450317383, -80.5997314453125, -289.287535777777, -102.650345798959, 15, 2.959317892371, 12.5829391033309, 7.9999401725716, 1.36253686255604, 7.15366850470621, 14.4457293882541, 60.2464528898391
47729.6800507387, -18.9028324796877, 508.047912597656, -20, 0.0851799019010724, 474.368957519531, 28.6083450317383, -80.5997314453125, -289.287535777777, -102.650345798959, 15, 3.11315689185029, 13.2037709722472, 8.21202766391673, 1.48347276111058, 7.2687360814158, 15.0410929498079, 61.0171030845218
47729.7600507387, -19.0536509300678, 506.370910644531, -20, 0.48765401085634, 474.977935791016, 28.6083469390869, -80.599723815918, -288.439185812532, -102.438258307648, 15, 3.31792179338247, 12.5854544875146, 8.03599504610298, 1.63470115622399, 6.95628992322125, 14.3527731478172, 60.9335291847136
47729.8400507387, -19.230031381395, 504.848754882813, -20, 0.436003689775798, 501.984344482422, 28.6083469390869, -80.599723815918, -288.439185812532, -102.438258307648, 15, 3.52497984557911, 12.3289662110145, 8.19506066461184, 1.77853152382462, 7.03519065397757, 14.1679314384799, 60.1611368386466
47729.9200507387, -19.3700996621507, 503.207153320313, -20, 0.332330518949172, 507.101898193359, 28.6083488464355, -80.5997161865234, -287.590835847288, -102.226170816337, 15, 3.74944980427172, 11.3745883951377, 7.96600617396183, 1.92756691769542, 6.54727584692438, 13.1027843286482, 59.9659137569908
